ARI,Flesch,Kincaid,Speaker,Score
-2.090000,121.220000,-3.400000,NaN,NaN
8.276460,64.478573,9.034156,WilliamDudley,1.670275
19.570911,27.362067,17.253580,JanetYellen,-0.604757
-2.090000,121.220000,-3.400000,NaN,NaN
-2.090000,121.220000,-3.400000,NaN,NaN
20.643483,17.069411,18.394178,LaelBrainard,0.215396
-2.090000,121.220000,-3.400000,NaN,NaN
-2.090000,121.220000,-3.400000,NaN,NaN
12.624198,52.220468,11.403157,JeromeH.Powell,-1.350798
18.466305,35.186261,16.205693,StanleyFischer,0.522121
-2.090000,121.220000,-3.400000,NaN,NaN
16.953460,36.246573,15.323457,LaelBrainard,-0.217779
-2.090000,121.220000,-3.400000,NaN,NaN
-2.090000,121.220000,-3.400000,NaN,NaN
17.066088,32.592551,16.108486,StanleyFischer,0.642245
-2.090000,121.220000,-3.400000,NaN,NaN
